SITE_ID,VISIT_NO,DEPTH,TEMPERATURE,OXYGEN,PH,DENSITY,INDEX_SITE_DEPTH
NLA12_CO-R01,1.0,48.0,4.3,4.5,7.0,999.999217146,
NLA12_CO-R04,1.0,19.7,15.8,5.6,6.4,999.004295072,
NLA12_CO-R07,1.0,2.55,11.0,11.0,9.1,999.633617872,
NLA12_CO-R10,1.0,6.2,14.7,0.0,6.6,999.173206874,
NLA12_CT-101,1.0,1.5,21.7,8.6,7.2,997.867932624,1.9
NLA12_CT-101,2.0,2.0,24.3,7.3,6.9,997.252177717,2.5
NLA12_CT-102,1.0,19.5,7.7,0.1,6.6,999.893989449,19.3
NLA12_CT-103,1.0,23.0,6.5,1.0,6.0,999.950849314,23.6
NLA12_CT-104,1.0,5.0,13.4,0.0,6.9,999.354278143,5.7
NLA12_CT-105,1.0,5.7,21.5,5.6,7.7,997.912500055,6.3
NLA12_CT-107,1.0,4.0,15.4,0.0,6.4,999.067355757,4.5
NLA12_CT-108,1.0,2.0,26.0,7.7,7.4,996.814100146,2.5
NLA12_CT-115,1.0,6.5,17.1,0.6,6.4,998.786659495,6.7
NLA12_CT-115,2.0,6.5,24.4,3.6,6.5,997.227171299,6.7
NLA12_CT-118,1.0,8.7,13.0,0.37,5.6,999.405855613,9.2
NLA12_CT-126,1.0,3.4,25.5,7.1,7.0,996.945787423,3.9
NLA12_DE-101,1.0,1.2,28.8,6.5,7.9,996.034089264,1.7
NLA12_DE-101,2.0,1.2,21.8,7.1,7.6,997.845496469,1.7
NLA12_DE-102,1.0,0.8,25.0,10.1,9.1,997.075117666,1.3
NLA12_DE-103,1.0,1.2,26.0,8.2,6.6,996.814100146,1.7
NLA12_DE-104,1.0,1.4,22.0,5.4,6.5,997.800320317,1.9
NLA12_DE-105,1.0,1.9,26.6,14.4,8.0,996.652994774,2.4
NLA12_DE-105,2.0,1.7,20.6,11.4,7.6,998.107981274,2.2
NLA12_DE-107,1.0,0.9,22.1,8.9,7.5,997.777580733,1.4
NLA12_DE-121,1.0,1.0,20.4,1.9,6.3,998.15028418,1.5
NLA12_FL-101,1.0,2.9,26.21,7.41,7.49,996.758093879,4.4
NLA12_FL-101,2.0,3.2,28.9,7.2,8.2,996.00492275,3.7
NLA12_FL-102,1.0,3.3,26.31,5.5,8.44,996.731279907,3.8
NLA12_FL-102,2.0,3.4,30.0,7.8,8.7,995.678270103,3.9
NLA12_FL-103,1.0,1.0,30.1,6.2,8.6,995.64804911,1.2
NLA12_FL-104,1.0,6.2,21.0,1.0,7.4,998.022130385,6.7
NLA12_FL-105,1.0,3.0,29.1,5.6,8.4,995.946323772,3.5
NLA12_FL-106,1.0,2.4,26.4,6.6,6.2,996.707067917,2.8
NLA12_FL-107,1.0,5.6,26.6,6.4,6.9,996.652994774,6.1
NLA12_FL-108,1.0,5.0,29.6,4.0,7.1,995.798282035,5.5
NLA12_FL-109,1.0,1.9,29.8,6.4,7.5,995.73845077,2.4
NLA12_FL-110,1.0,2.1,27.7,7.9,5.8,996.349022479,2.6
NLA12_FL-110,2.0,2.3,30.6,7.3,5.9,995.495643364,2.8
NLA12_FL-114,1.0,6.1,22.4,1.5,6.8,997.708758401,6.6
NLA12_FL-123,2.0,12.0,19.6,0.8,5.4,998.315304407,12.5
NLA12_FL-126,1.0,1.9,29.7,7.4,8.0,995.768410152,2.4
NLA12_FL-130,1.0,1.5,29.0,6.7,6.3,995.975667535,2.0
NLA12_FL-132,1.0,0.6,31.3,9.7,8.5,995.278659169,1.1
NLA12_FL-141,1.0,0.6,30.9,5.9,4.7,995.403164462,1.1
NLA12_FL-R04,1.0,1.5,29.1,8.1,6.9,995.946323772,
NLA12_FL-R06,1.0,2.3,29.9,5.4,4.1,995.708404039,
NLA12_GA-101,1.0,2.2,27.13,3.4,7.63,996.50791728,2.7
NLA12_GA-101,2.0,2.0,28.3,3.3,6.9,996.178585955,2.6
NLA12_GA-102,1.0,0.8,28.39,1.59,5.36,996.152741349,1.2
NLA12_GA-103,1.0,3.3,23.5,0.2,6.17,997.448741171,3.8
NLA12_GA-104,1.0,12.5,22.22,0.0,6.4,997.750160283,13.0
NLA12_GA-105,1.0,20.3,15.01,5.5,5.13,999.127041772,20.8
NLA12_GA-107,1.0,2.8,24.76,4.16,6.41,997.136352447,3.3
NLA12_GA-111,1.0,2.9,28.98,1.08,5.17,995.981525667,3.4
NLA12_GA-112,1.0,4.6,18.74,0.02,5.73,998.485121512,5.1
NLA12_GA-112,2.0,4.0,28.48,5.02,5.87,996.126824258,4.5
NLA12_GA-114,1.0,2.5,25.4,0.2,6.6,996.97184274,3.0
NLA12_GA-118,1.0,9.2,12.58,0.17,5.91,999.457879547,9.7
NLA12_GA-127,1.0,1.5,28.25,3.59,5.62,996.192912706,2.2
NLA12_GA-R01,1.0,4.8,20.3,1.1,6.7,998.171279233,
NLA12_GA-R11,1.0,1.7,25.0,1.1,4.0,997.075117666,
NLA12_IA-101,1.0,3.0,21.2,5.6,8.2,997.978585866,6.7
NLA12_IA-101,2.0,6.6,26.3,0.1,7.4,996.733965486,7.1
NLA12_IA-102,1.0,1.2,28.2,9.33,8.7,996.207217031,1.7
NLA12_IA-103,1.0,5.7,17.1,2.0,7.0,998.786659495,6.2
NLA12_IA-104,1.0,6.5,17.8,0.05,6.22,998.661580905,7.0
NLA12_IA-105,1.0,2.5,23.37,6.09,8.33,997.480093138,2.8
NLA12_IA-106,1.0,4.0,24.9,0.2,7.8,997.100698921,4.7
NLA12_IA-107,1.0,2.5,19.3,7.8,9.0,998.375441973,2.8
NLA12_IA-109,1.0,1.5,19.02,1.12,9.77,998.430703062,1.5
NLA12_IA-113,1.0,10.0,17.4,0.4,6.5,998.733722447,10.5
NLA12_IA-120,1.0,2.3,20.9,8.8,8.3,998.043748198,2.8
NLA12_IA-120,2.0,3.0,27.81,6.17,7.56,996.318018877,3.6
NLA12_IA-127,1.0,6.5,22.2,0.04,6.63,997.754740417,6.6
NLA12_IA-132,1.0,1.5,21.16,3.95,8.12,997.987327659,2.4
NLA12_IA-134,1.0,2.4,27.2,7.0,8.7,996.488563408,2.9
NLA12_IA-150,1.0,5.9,13.0,0.0,5.6,999.405855613,6.4
NLA12_IA-152,1.0,3.2,27.8,7.6,8.0,996.320841909,3.7
NLA12_IA-R01,1.0,4.6,24.5,1.8,7.8,997.202068617,
NLA12_IA-R02,1.0,1.0,26.3,6.4,8.9,996.733965486,
NLA12_IA-R03,1.0,7.5,9.5,0.6,7.3,999.770353174,
NLA12_ID-101,1.0,4.0,18.48,8.44,8.39,998.534893892,6.5
NLA12_ID-101,2.0,4.0,21.0,2.82,7.94,998.022130385,4.0
NLA12_ID-102,1.0,2.68,22.43,13.2,8.55,997.701826516,3.0
NLA12_ID-103,1.0,5.84,15.96,0.34,6.78,998.978551787,6.3
NLA12_ID-104,1.0,3.49,21.42,6.7,9.92,997.93021291,4.05
NLA12_ID-105,1.0,10.47,6.73,0.03,7.4,999.941577852,12.5
