SITE_ID,VISIT_NO,thermocline_depth,buoyancy_frequency
NLA12_ID-108,1.0,2.00409019629,0.00804489434702
NLA12_ID-109,1.0,5.52164879404,0.000213248797895
NLA12_ID-110,1.0,0.115,0.0328002637471
NLA12_ID-111,1.0,,
NLA12_ID-112,1.0,2.24117857041,0.00540263476332
NLA12_ID-112,2.0,0.75,0.0127495468695
NLA12_ID-113,1.0,2.38909700027,0.00743554939245
NLA12_ID-121,1.0,3.655,0.00936063811091
NLA12_ID-122,1.0,1.00573019502,0.00173726181723
NLA12_ID-141,1.0,,
NLA12_ID-142,1.0,,
NLA12_ID-143,1.0,0.448779923057,0.00162946565171
NLA12_ID-145,1.0,2.50635333606,0.00192500191076
NLA12_ID-148,1.0,3.72227003889,0.00750367746302
NLA12_ID-149,1.0,2.38989129098,0.0160589711381
NLA12_ID-151,1.0,0.928635422687,0.00658065236315
NLA12_ID-158,1.0,4.78678035249,0.00310851463108
NLA12_ID-165,1.0,1.93254508587,0.0101561482067
NLA12_ID-166,1.0,0.904131447035,0.00589257649333
NLA12_ID-168,1.0,0.08,0.00572962945879
NLA12_ID-175,1.0,1.19999242599,0.00415457954319
NLA12_ID-180,1.0,0.495,0.000156454565828
NLA12_ID-194,1.0,4.09,0.00290412790334
NLA12_ID-198,1.0,0.255,0.0178261662035
NLA12_ID-203,1.0,1.125,0.00221874496584
NLA12_ID-205,1.0,2.87610779701,0.00862885136399
NLA12_ID-207,1.0,1.19427051751,0.0100348819883
NLA12_ID-209,1.0,3.12164017844,0.0030961588794
NLA12_ID-210,1.0,,
NLA12_ID-214,1.0,0.75,0.00222772411296
NLA12_ID-215,1.0,6.07463095105,0.0807392868907
NLA12_ID-216,1.0,0.575,0.0060562268322
NLA12_ID-218,1.0,2.65183493348,0.00763376905563
NLA12_ID-220,1.0,1.53769532323,0.00053937421874
NLA12_ID-221,1.0,0.75,0.0028213881663
NLA12_IL-103,1.0,4.6188465036,0.00754278684804
NLA12_IL-103,2.0,6.5,0.0061771982982
NLA12_IL-104,1.0,6.47622313628,0.0113636274068
NLA12_IL-105,1.0,7.09632108214,0.00779320449965
NLA12_IL-106,1.0,6.25425784859,0.0115753826853
NLA12_IL-109,1.0,5.5776695041,0.0203477408796
NLA12_IL-109,2.0,7.56721042219,0.0117365737257
NLA12_IL-110,1.0,3.5,0.0123734421214
NLA12_IL-111,1.0,9.25,0.00788047808739
NLA12_IL-112,1.0,0.25,0.00102742524578
NLA12_IL-114,1.0,7.20068225325,0.00896831976979
NLA12_IL-116,1.0,4.60697069707,0.00932268357695
NLA12_IL-118,1.0,2.25,0.00220184667924
NLA12_IL-120,1.0,4.39468302028,0.0164881432387
NLA12_IL-123,1.0,0.25,0.000932288147371
NLA12_IL-R01,1.0,4.25,0.013613026929
NLA12_IL-R03,1.0,3.05,0.0565438126827
NLA12_IL-R04,1.0,3.9123448445,0.00884163029506
NLA12_IN-101,1.0,4.48972297632,0.00968036708376
NLA12_IN-101,2.0,5.42920405124,0.00995442819666
NLA12_IN-102,1.0,7.33412083496,0.0107091442572
NLA12_IN-103,1.0,4.61990520318,0.0103198438272
NLA12_IN-104,1.0,6.5,0.00830132810718
NLA12_IN-105,1.0,5.69525795992,0.00953815435951
NLA12_IN-106,1.0,5.54133350281,0.0156211009096
NLA12_IN-108,1.0,4.79394003471,0.00746112378752
NLA12_IN-110,1.0,7.3706862725,0.0129592108049
NLA12_IN-111,1.0,4.83291037183,0.0124844941222
NLA12_IN-112,1.0,8.87908399563,0.00378405835658
NLA12_IN-113,1.0,6.89452924876,0.0107590304537
NLA12_IN-115,1.0,0.5,0.00130785203762
NLA12_IN-116,1.0,4.47996854411,0.0135052285629
NLA12_IN-117,1.0,6.5,0.00264285247436
NLA12_IN-120,1.0,5.5,0.00926714422425
NLA12_IN-126,1.0,2.45,0.0077427699572
NLA12_IN-127,1.0,5.5,0.00526630499698
NLA12_IN-128,1.0,6.10806978413,0.00740054160254
NLA12_IN-128,2.0,7.45,0.00763263766426
NLA12_IN-130,1.0,5.40217349691,0.0134121784955
NLA12_IN-131,1.0,7.24093170624,0.0061171951031
NLA12_IN-134,1.0,3.52472999069,0.0168470789165
NLA12_IN-135,1.0,4.99065936434,0.00655518535684
NLA12_IN-142,1.0,0.25,0.00399975222159
NLA12_IN-144,1.0,4.7887438942,0.0134007319325
NLA12_IN-145,1.0,1.35438535514,0.0022058185483
NLA12_IN-146,1.0,4.44301756619,0.0124690011846
NLA12_IN-147,1.0,0.125,0.0168312137766
NLA12_IN-149,1.0,0.5,0.00165334037678
NLA12_IN-155,1.0,6.93213347028,0.0070692464755
NLA12_IN-159,1.0,3.5,0.00913448257891
NLA12_IN-160,1.0,4.66942477053,0.0100013643207
NLA12_IN-162,1.0,3.15,0.0134515475701
NLA12_IN-163,1.0,7.55398933288,0.0123930392666
NLA12_IN-164,1.0,3.82737807751,0.0122742747192
NLA12_IN-166,1.0,0.25,0.00725570050588
NLA12_IN-171,1.0,3.56166578942,0.0145076689382
NLA12_IN-172,1.0,6.49669111024,0.0113488632984
NLA12_IN-174,1.0,6.43119988581,0.00953044345508
NLA12_IN-179,1.0,0.5,0.00181827086613
NLA12_IN-180,1.0,5.5,0.00765732836483
NLA12_IN-183,1.0,0.25,0.000660281017858
NLA12_IN-185,1.0,4.5,0.00818945167305
NLA12_IN-186,1.0,6.8063885899,0.00993518272803
NLA12_IN-187,1.0,6.1,0.0130744132445
NLA12_IN-191,1.0,1.75,0.00444991476988
NLA12_IN-193,1.0,3.5,0.000250743696308
NLA12_IN-196,1.0,7.62278640591,0.00552820425909
NLA12_IN-199,1.0,6.63464379245,0.0078916680141
NLA12_IN-201,1.0,5.55070730664,0.00649597656808
NLA12_IN-202,1.0,1.7,0.000634159827175
NLA12_KS-101,1.0,0.5,-0.0
NLA12_KS-101,2.0,0.5,0.000413959585477
NLA12_KS-102,1.0,3.98770196863,0.000703268929565
NLA12_KS-103,1.0,3.53456134707,0.00518984359316
NLA12_KS-105,1.0,0.5,-0.000122995989257
NLA12_KS-106,1.0,2.25,0.0118814083618
NLA12_KS-107,1.0,1.5,-0.0
NLA12_KS-108,1.0,0.75,0.0018479907535
NLA12_KS-109,1.0,2.5,0.00571362537618
NLA12_KS-109,2.0,2.5,0.00694865661333
