,NLA12_ID,AreaSqKM,time
246,NLA12_IA-125,206.104372,
247,NLA12_IA-127,5.819636,
248,NLA12_IA-132,1.458,
249,NLA12_IA-134,28.172336,
250,NLA12_IA-136,5.640096,
251,NLA12_IA-145,55.655924,
252,NLA12_IA-150,27.429007,
253,NLA12_IA-152,25.079189,
254,NLA12_IA-R01,0.1017,
255,NLA12_IA-R02,0.1044,
256,NLA12_IA-R03,4.4667,
257,NLA12_ID-101,75.918702,
258,NLA12_ID-102,6.249254,
259,NLA12_ID-103,94.127096,
260,NLA12_ID-104,78.323685,
261,NLA12_ID-105,3.6342,
262,NLA12_ID-106,2846.541323,
263,NLA12_ID-107,100.46296,
264,NLA12_ID-108,51.185804,
265,NLA12_ID-109,42378.91211,
266,NLA12_ID-110,278.728585,
267,NLA12_ID-111,278.323442,
268,NLA12_ID-112,8.658559,
269,NLA12_ID-113,2.861734,
270,NLA12_ID-114,10.31949,
271,NLA12_ID-115,2.975057,
272,NLA12_ID-117,0.8046,
273,NLA12_ID-119,0.3852,
274,NLA12_ID-121,88.917138,
275,NLA12_ID-122,268.357474,
276,NLA12_ID-124,5.547683,
277,NLA12_ID-125,0.4554,
278,NLA12_ID-126,0.9288,
279,NLA12_ID-129,0.7992,
280,NLA12_ID-131,0.1296,
281,NLA12_ID-133,0.3609,
282,NLA12_ID-136,3.695377,
283,NLA12_ID-140,29.595725,
284,NLA12_ID-141,27.392772,
285,NLA12_ID-142,27.3285,
286,NLA12_ID-143,23.3424,
287,NLA12_ID-144,0.6165,
288,NLA12_ID-145,11.56322,
289,NLA12_ID-147,0.7803,
290,NLA12_ID-148,2.4111,
291,NLA12_ID-149,0.2196,
292,NLA12_ID-151,27.062641,
293,NLA12_ID-154,29.375536,
294,NLA12_ID-156,1.0836,
295,NLA12_ID-158,1.392145,
296,NLA12_ID-161,1.3626,
297,NLA12_ID-163,1.3077,
298,NLA12_ID-164,1.4733,
299,NLA12_ID-165,28.124439,
300,NLA12_ID-166,457.272429,
301,NLA12_ID-168,109.386082,
302,NLA12_ID-169,5.971055,
303,NLA12_ID-172,3.186778,
304,NLA12_ID-174,0.7263,
305,NLA12_ID-175,136.288561,
306,NLA12_ID-176,0.671696,
307,NLA12_ID-177,0.2853,
308,NLA12_ID-179,11.867977,
309,NLA12_ID-180,1.189832,
310,NLA12_ID-181,0.1746,
311,NLA12_ID-182,3.641507,
312,NLA12_ID-183,0.4896,
313,NLA12_ID-184,3.893482,
314,NLA12_ID-189,3.2796,
315,NLA12_ID-190,1.784619,
316,NLA12_ID-191,1.413,
317,NLA12_ID-194,102.195392,
318,NLA12_ID-195,3.5001,
319,NLA12_ID-196,0.460465,
320,NLA12_ID-197,1.893166,
321,NLA12_ID-198,0.342,
322,NLA12_ID-199,4.460718,
323,NLA12_ID-203,4.886354,
324,NLA12_ID-204,0.5787,
325,NLA12_ID-205,5.853188,
326,NLA12_ID-206,0.5031,
327,NLA12_ID-207,26.810179,
328,NLA12_ID-209,1.5273,
329,NLA12_ID-210,5.241005,
330,NLA12_ID-212,0.594409,
331,NLA12_ID-213,39.799866,
332,NLA12_ID-214,1841.805815,
333,NLA12_ID-215,27.460339,
334,NLA12_ID-216,44.148662,
335,NLA12_ID-217,0.1071,
336,NLA12_ID-218,0.679144,
337,NLA12_ID-220,0.355037,
338,NLA12_ID-221,1.0602,
339,NLA12_IL-101,33.270629,
340,NLA12_IL-102,0.451815,
341,NLA12_IL-103,17.648289,
342,NLA12_IL-104,3.1581,
343,NLA12_IL-105,53.757997,
344,NLA12_IL-106,99.426731,
345,NLA12_IL-108,1.0467,
346,NLA12_IL-109,4.237164,
347,NLA12_IL-110,0.036,
348,NLA12_IL-111,27.605805,
349,NLA12_IL-112,1.2816,
350,NLA12_IL-114,6.0525,
351,NLA12_IL-116,1.1169,
352,NLA12_IL-118,16.767,
353,NLA12_IL-120,0.7191,
354,NLA12_IL-121,0.378,
355,NLA12_IL-123,23.2731,
356,NLA12_IL-R01,1.517159,
357,NLA12_IL-R03,0.3069,
358,NLA12_IL-R04,1.21781,
359,NLA12_IN-101,0.4518,
360,NLA12_IN-102,11.126455,
361,NLA12_IN-103,38.445847,
362,NLA12_IN-104,1.082537,
363,NLA12_IN-105,16.0263,
364,NLA12_IN-106,18.715742,
365,NLA12_IN-108,16.304944,
366,NLA12_IN-109,0.6219,
367,NLA12_IN-110,294.796306,
368,NLA12_IN-111,49.913012,
369,NLA12_IN-112,26.35982,
370,NLA12_IN-113,126.02491,
371,NLA12_IN-114,9.31553,
372,NLA12_IN-115,1119.720496,
373,NLA12_IN-116,0.5859,
374,NLA12_IN-117,4.4604,
375,NLA12_IN-120,123.385296,
376,NLA12_IN-122,0.1017,
377,NLA12_IN-123,0.7533,
378,NLA12_IN-124,0.3168,
379,NLA12_IN-126,0.568644,
380,NLA12_IN-127,183.72009,
381,NLA12_IN-128,10.237638,
382,NLA12_IN-129,0.32875,
383,NLA12_IN-130,23.808792,
384,NLA12_IN-131,4.3074,
385,NLA12_IN-132,0.0513,
386,NLA12_IN-133,6.040085,
387,NLA12_IN-134,1.411831,
388,NLA12_IN-135,0.8118,
389,NLA12_IN-136,0.2484,
390,NLA12_IN-137,0.5094,
391,NLA12_IN-138,0.4356,
392,NLA12_IN-140,5.5422,
393,NLA12_IN-142,10.193162,
394,NLA12_IN-143,2.3904,
395,NLA12_IN-144,28.654921,
396,NLA12_IN-145,3.665114,
397,NLA12_IN-146,17.868455,
398,NLA12_IN-147,1.1376,
399,NLA12_IN-149,87.113673,
400,NLA12_IN-155,0.2124,
401,NLA12_IN-156,26.700244,
402,NLA12_IN-158,0.2736,
403,NLA12_IN-159,2.2644,
404,NLA12_IN-160,0.4536,
405,NLA12_IN-161,0.756,
406,NLA12_IN-162,0.8001,
407,NLA12_IN-163,420.034332,
408,NLA12_IN-164,3.640106,
409,NLA12_IN-166,51.736619,
410,NLA12_IN-167,0.8298,
411,NLA12_IN-168,0.2466,
412,NLA12_IN-170,0.1368,
